34-82,33-81
59-59,69-73
6-96,98-99
1-94,3-96
13-92,20-64
37-75,76-93
5-98,6-6
40-65,40-64
13-63,84-91
31-75,31-35
83-96,86-96
65-85,64-85
85-85,36-86
71-73,72-81
3-91,91-92
45-72,45-73
42-70,42-58
45-45,16-45
2-59,49-58
46-59,60-60
21-21,21-77
65-72,69-72
3-77,3-76
2-91,23-89
86-92,7-86
25-86,24-86
11-62,1-62
23-30,23-23
31-94,27-29
58-90,59-89
45-70,19-46
56-56,57-97
65-84,67-83
47-77,44-48
1-68,29-69
18-18,19-68
99-99,72-93
3-60,1-60
31-31,32-74
2-2,7-62
25-83,10-24
7-96,16-47
12-71,13-70
56-57,20-56
18-24,25-25
58-89,58-90
63-68,18-63
26-70,69-71
95-98,8-96
21-94,22-94
22-91,21-91
16-22,20-23
94-95,3-94
2-20,19-80
26-94,6-17
30-82,29-82
22-73,22-71
51-62,50-62
10-65,9-64
35-36,1-35
28-90,39-90
21-22,20-21
2-35,3-34
10-79,79-79
37-80,80-81
7-93,99-99
4-7,32-61
2-37,1-38
4-91,3-87
32-92,31-91
64-64,64-83
7-87,3-8
60-91,55-59
35-41,35-46
46-87,70-87
3-14,4-88
44-60,19-93
10-31,10-74
25-87,24-26
80-97,90-91
3-15,6-23
18-83,49-77
7-45,46-90
73-91,11-79
2-4,3-99
66-98,7-96
62-63,61-62
30-97,97-98
3-79,78-80
15-32,30-72
66-85,84-85
35-76,45-76
14-65,14-65
81-82,42-81
3-90,4-90
3-4,5-99
63-99,1-99
65-66,9-65
60-84,85-85
17-17,6-18
73-75,7-74
57-98,56-99
59-59,10-58
10-18,20-52
36-78,35-78
1-99,99-99
21-88,51-55
42-97,42-96
7-79,8-78
32-71,72-96
19-35,43-73
2-12,4-11
91-91,39-90
49-86,50-89
13-19,21-84
60-81,67-81
17-26,26-75
59-95,60-95
30-70,21-70
7-60,8-61
10-95,95-97
20-22,21-84
11-98,6-9
2-24,3-26
41-50,62-99
13-25,26-99
35-43,27-36
99-99,42-81
86-86,8-85
13-46,13-84
76-88,77-87
19-77,4-77
20-54,21-44
19-91,90-91
8-67,7-67
8-74,29-73
14-16,15-25
64-70,70-71
16-99,16-16
6-94,5-95
87-98,71-98
1-60,7-60
1-76,1-96
31-92,24-30
12-81,9-11
4-85,2-78
11-84,8-9
4-4,8-90
6-11,12-82
2-96,2-70
12-91,12-97
79-89,2-89
75-75,67-74
5-81,5-5
68-74,74-84
81-82,82-95
5-78,6-78
53-87,38-88
83-94,75-88
53-79,31-48
55-57,56-88
3-69,69-70
5-54,2-4
48-85,28-47
23-78,22-63
13-20,29-96
24-45,86-88
43-64,44-71
7-84,49-84
16-89,15-88
6-73,13-73
71-71,53-70
4-12,11-41
36-53,37-52
46-91,45-91
5-58,4-6
94-94,95-97
9-55,55-94
6-49,5-7
4-99,3-5
92-93,91-93
61-83,62-84
22-82,23-81
8-94,7-94
7-9,12-63
1-51,73-73
7-66,2-6
44-45,7-44
8-94,8-99
90-97,96-97
6-72,72-91
55-60,59-62
2-40,1-3
51-75,36-75
6-8,7-86
1-1,2-97
25-88,89-89
19-94,18-20
3-3,4-98
32-68,52-67
10-54,7-54
17-69,18-70
17-75,8-54
53-65,16-52
50-88,49-49
8-63,3-7
35-38,36-84
50-54,14-54
17-17,18-62
20-26,27-83
3-3,4-84
9-25,41-56
16-72,17-71
22-89,5-89
12-30,12-30
78-94,55-78
40-83,85-88
49-84,48-50
96-98,1-96
78-78,76-77
81-82,22-34
93-94,5-92
39-70,38-40
80-84,85-85
3-73,4-91
13-49,13-89
2-94,2-25
18-72,71-75
27-69,25-94
20-78,16-79
25-29,25-50
75-95,93-95
35-65,34-65
58-91,57-90
95-95,7-95
31-31,31-81
8-88,8-89
90-90,4-90
13-66,37-66
17-17,18-19
74-74,39-73
28-30,29-31
22-95,21-94
